expression,reading,level
現像,げんぞう,JLPT_1 JLPT
原則,げんそく,JLPT_1 JLPT
見地,けんち,JLPT_1 JLPT
現地,げんち,JLPT_1 JLPT
限定,げんてい,JLPT_1 JLPT
原点,げんてん,JLPT_1 JLPT
原典,げんてん,JLPT_1 JLPT
原爆,げんばく,JLPT_1 JLPT
原文,げんぶん,JLPT_1 JLPT
厳密,げんみつ,JLPT_1 JLPT
賢明,けんめい,JLPT_1 JLPT
倹約,けんやく,JLPT_1 JLPT
原油,げんゆ,JLPT_1 JLPT
兼用,けんよう,JLPT_1 JLPT
権力,けんりょく,JLPT_1 JLPT
言論,げんろん,JLPT_1 JLPT
故～,こ～,JLPT_1 JLPT
語彙,ごい,JLPT_1 JLPT
恋する,こいする,JLPT_1 JLPT
甲,こう,JLPT_1 JLPT
～光,～こう,JLPT_1 JLPT
好意,こうい,JLPT_1 JLPT
行為,こうい,JLPT_1 JLPT
合意,ごうい,JLPT_1 JLPT
工学,こうがく,JLPT_1 JLPT
抗議,こうぎ,JLPT_1 JLPT
合議,ごうぎ,JLPT_1 JLPT
皇居,こうきょ,JLPT_1 JLPT
好況,こうきょう,JLPT_1 JLPT
鉱業,こうぎょう,JLPT_1 JLPT
興業,こうぎょう,JLPT_1 JLPT
高原,こうげん,JLPT_1 JLPT
交互,こうご,JLPT_1 JLPT
煌々と,こうこうと,JLPT_1 JLPT
考古学,こうこがく,JLPT_1 JLPT
工作,こうさく,JLPT_1 JLPT
耕作,こうさく,JLPT_1 JLPT
鉱山,こうざん,JLPT_1 JLPT
講習,こうしゅう,JLPT_1 JLPT
口述,こうじゅつ,JLPT_1 JLPT
控除,こうじょ,JLPT_1 JLPT
交渉,こうしょう,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese
高尚,こうしょう,JLPT_1 JLPT
向上,こうじょう,JLPT_1 JLPT
行進,こうしん,JLPT_1 JLPT
香辛料,こうしんりょう,JLPT_1 JLPT
降水,こうすい,JLPT_1 JLPT
洪水,こうずい,JLPT_1 JLPT
合成,ごうせい,JLPT_1 JLPT
公然,こうぜん,JLPT_1 JLPT
抗争,こうそう,JLPT_1 JLPT
構想,こうそう,JLPT_1 JLPT
後退,こうたい,JLPT_1 JLPT
光沢,こうたく,JLPT_1 JLPT
公団,こうだん,JLPT_1 JLPT
好調,こうちょう,JLPT_1 JLPT
口頭,こうとう,JLPT_1 JLPT
講読,こうどく,JLPT_1 JLPT
購読,こうどく,JLPT_1 JLPT
購入,こうにゅう,JLPT_1 JLPT
公認,こうにん,JLPT_1 JLPT
光熱費,こうねつひ,JLPT_1 JLPT
購買,こうばい,JLPT_1 JLPT
好評,こうひょう,JLPT_1 JLPT
交付,こうふ,JLPT_1 JLPT
公募,こうぼ,JLPT_1 JLPT
巧妙,こうみょう,JLPT_1 JLPT
公用,こうよう,JLPT_1 JLPT
小売,こうり,JLPT_1 JLPT
効率,こうりつ,JLPT_1 JLPT
公立,こうりつ,JLPT_1 JLPT
護衛,ごえい,JLPT_1 JLPT
コーナー,コーナー,JLPT_1 JLPT
小柄,こがら,JLPT_1 JLPT
小切手,こぎって,JLPT_1 JLPT
国産,こくさん,JLPT_1 JLPT
国定,こくてい,JLPT_1 JLPT
告白,こくはく,JLPT_1 JLPT
国防,こくぼう,JLPT_1 JLPT
国有,こくゆう,JLPT_1 JLPT
